name,type,subtype,variable,outcome,notes
V0072,family,income,Sources of family income for families in occupied private dwellings,Total families stated,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0073,family,income,Sources of family income for families in occupied private dwellings,Not Stated,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0074,family,income,Sources of family income for families in occupied private dwellings,Total families in occupied private dwellings,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0075,family,income,Sources of family income for families in occupied private dwellings,Total families in private occupied dwellings,"Includes all families who stated each source of family income whether as their only source of family income or as one of several. Where a family reported more than one source of family income they have been counted in each applicable group.;

A family's sources of family income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of families in 2001.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0076,household,household,Total households in occupied private dwellings,,
V0077,household,household,Household composition for households in occupied private dwellings,One-family household (with or without other people),
V0078,household,household,Household composition for households in occupied private dwellings,Two-family household (with or without other people),
V0079,household,household,Household composition for households in occupied private dwellings,Three or more family household (with or without other people),
V0080,household,household,Household composition for households in occupied private dwellings,Other multi-person household,
V0081,household,household,Household composition for households in occupied private dwellings,One-person household,
V0082,household,household,Household composition for households in occupied private dwellings,Total households stated,
V0083,household,household,Household composition for households in occupied private dwellings,Household composition unidentifiable,
V0084,household,household,Household composition for households in occupied private dwellings,Total households in occupied private dwellings,
V0085,household,household,Number of usual residents in household for households in occupied private dwellings,One Usual Resident,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0086,household,household,Number of usual residents in household for households in occupied private dwellings,Two Usual Residents,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0087,household,household,Number of usual residents in household for households in occupied private dwellings,Three Usual Residents,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0088,household,household,Number of usual residents in household for households in occupied private dwellings,Four Usual Residents,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0089,household,household,Number of usual residents in household for households in occupied private dwellings,Five Usual Residents,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0090,household,household,Number of usual residents in household for households in occupied private dwellings,Six Usual Residents,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0091,household,household,Number of usual residents in household for households in occupied private dwellings,Seven Usual Residents,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0092,household,household,Number of usual residents in household for households in occupied private dwellings,Eight or More Usual Residents,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0093,household,household,Number of usual residents in household for households in occupied private dwellings,Total households in occupied private dwellings,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0094,household,household,Number of usual residents in household for households in occupied private dwellings,Mean Number of Usual Household Members,Usual residents are people who usually live in the surveyed dwelling. There are two types of usual residents: people who usually live in the dwelling and are present at the time of the census and people who usually live in the dwelling but are absent at the time of the census (absentees).
V0095,household,income,Total household income (grouped) for households in occupied private dwellings,$20000 or Less,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0096,household,income,Total household income (grouped) for households in occupied private dwellings,$20001-$30000,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0097,household,income,Total household income (grouped) for households in occupied private dwellings,$30001-$50000,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0098,household,income,Total household income (grouped) for households in occupied private dwellings,$50001-$70000,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0099,household,income,Total household income (grouped) for households in occupied private dwellings,$70001-$100000,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0100,household,income,Total household income (grouped) for households in occupied private dwellings,$100001 or More,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0101,household,income,Total household income (grouped) for households in occupied private dwellings,Total households stated,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0102,household,income,Total household income (grouped) for households in occupied private dwellings,Not Stated,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006.;

Consists of households where one or more household members aged 15 years and over were temporarily absent from the dwelling or did not state their income. In 2001 and 2006 if the accumulated household income (excluding the absent person) was already $100001 or more the household was counted in the appropriate income category. In 2013 if the accumulated household income (excluding the absent person) was already $150001 or more the household was counted in the appropriate income category."
V0103,household,income,Total household income (grouped) for households in occupied private dwellings,Total households in occupied private dwellings,"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006."
V0104,household,income,Total household income (grouped) for households in occupied private dwellings,Median household income ($),"Total household income (grouped) is an aggregated output variable with income bands of: 
$20000 or less 
$20001-$30000 
$30001-$50000 
$50001-$70000 
$70001-$100000 
$100001 or more 
Not stated. 
Total household income (grouped) was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

A household's total household income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total household income is not available for a small number of households in 2001 and 2006.;

For categories with small populations the data may not look as expected because of the effect of random rounding.;

Median total household income is rounded to the nearest $100."
V0105,household,income,Sources of household income for households in occupied private dwellings,Wages Salary Commissions Bonuses etc,"Includes all households who stated each source of household income whether as their only source of household income or as one of several. Where a household reported more than one source of household income they have been counted in each applicable group.;

A household's sources of household income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of households in 2001 and 2006.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2013 and 2006 sickness benefit replaced the 2001 category community wage sickness benefit."
V0106,household,income,Sources of household income for households in occupied private dwellings,Self-employment or Business,"Includes all households who stated each source of household income whether as their only source of household income or as one of several. Where a household reported more than one source of household income they have been counted in each applicable group.;

A household's sources of household income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of households in 2001 and 2006.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2013 and 2006 sickness benefit replaced the 2001 category community wage sickness benefit."
V0107,household,income,Sources of household income for households in occupied private dwellings,Interest Dividends Rent Other Invest.,"Includes all households who stated each source of household income whether as their only source of household income or as one of several. Where a household reported more than one source of household income they have been counted in each applicable group.;

A household's sources of household income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

This information is not available for a small number of households in 2001 and 2006.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker. In 2013 and 2006 sickness benefit replaced the 2001 category community wage sickness benefit."
